teams,uid,hid,hypothesis,shares
Non-Team,DHBRH9ZM,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-65.871002
Non-Team,DYW9BUWN,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",1.368
Non-Team,DYW9BUWN,2,"Positive Effect of Gains in VMPFC, Equal Range Group",5.7729998
Non-Team,DYW9BUWN,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",11.144
Non-Team,DYW9BUWN,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",.132
Non-Team,DYW9BUWN,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-28.23
Non-Team,DYW9BUWN,6,"Negative Effect of Losses in VMPFC, Equal Range Group",32.276001
Non-Team,DYW9BUWN,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",19.155001
Non-Team,DYW9BUWN,8,"Positive Effect of Losses in Amygdala, Equal Range Group",37.624001
Non-Team,DYW9BUWN,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-3.503
Non-Team,E3BL2V48,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",-227.05499
Non-Team,E3BL2V48,2,"Positive Effect of Gains in VMPFC, Equal Range Group",-130.758
Non-Team,E3BL2V48,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",-119.586
Non-Team,E3BL2V48,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-125.211
Non-Team,E3BL2V48,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,E3BL2V48,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,E3BL2V48,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",20.900999
Non-Team,E3BL2V48,8,"Positive Effect of Losses in Amygdala, Equal Range Group",10.335
Non-Team,E3BL2V48,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-11.416
Non-Team,E3K3HT03,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,E3K3HT03,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,E3K3HT03,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,E3K3HT03,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,E3K3HT03,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,E3K3HT03,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,E3K3HT03,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,E3K3HT03,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,E3K3HT03,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,E6S8LAPB,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",17.443001
Non-Team,E6S8LAPB,2,"Positive Effect of Gains in VMPFC, Equal Range Group",17.450001
Non-Team,E6S8LAPB,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",17.375
Non-Team,E6S8LAPB,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",17.129999
Non-Team,E6S8LAPB,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,E6S8LAPB,6,"Negative Effect of Losses in VMPFC, Equal Range Group",-18.348
Non-Team,E6S8LAPB,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",14.507
Non-Team,E6S8LAPB,8,"Positive Effect of Losses in Amygdala, Equal Range Group",17.746
Non-Team,E6S8LAPB,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",25.122
Non-Team,EC6JRZIK,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",13.683
Non-Team,EC6JRZIK,2,"Positive Effect of Gains in VMPFC, Equal Range Group",6.9580002
Non-Team,EC6JRZIK,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",5.8920002
Non-Team,EC6JRZIK,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,EC6JRZIK,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-19.09
Non-Team,EC6JRZIK,6,"Negative Effect of Losses in VMPFC, Equal Range Group",19.09
Non-Team,EC6JRZIK,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-31.201
Non-Team,EC6JRZIK,8,"Positive Effect of Losses in Amygdala, Equal Range Group",8.927
Non-Team,EC6JRZIK,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-65.594002
Non-Team,EU8JCEPT,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",-52.046001
Non-Team,EU8JCEPT,2,"Positive Effect of Gains in VMPFC, Equal Range Group",-17.209
Non-Team,EU8JCEPT,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",-171.08501
Non-Team,EU8JCEPT,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-118.964
Non-Team,EU8JCEPT,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-28.408001
Non-Team,EU8JCEPT,6,"Negative Effect of Losses in VMPFC, Equal Range Group",-35.358002
Non-Team,EU8JCEPT,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-35.104
Non-Team,EU8JCEPT,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-19.021999
Non-Team,EU8JCEPT,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-24.816
Non-Team,F06ZTWZI,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",1.2589999
Non-Team,F06ZTWZI,2,"Positive Effect of Gains in VMPFC, Equal Range Group",-50.473
Non-Team,F06ZTWZI,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",-134.205
Non-Team,F06ZTWZI,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-157.71899
Non-Team,F06ZTWZI,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",1.425
Non-Team,F06ZTWZI,6,"Negative Effect of Losses in VMPFC, Equal Range Group",4.5970001
Non-Team,F06ZTWZI,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-43.609001
Non-Team,F06ZTWZI,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-58.765999
Non-Team,F06ZTWZI,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-15.948
Non-Team,FZSDNX6M,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",12.014
Non-Team,FZSDNX6M,2,"Positive Effect of Gains in VMPFC, Equal Range Group",12.126
Non-Team,FZSDNX6M,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",22.688999
Non-Team,FZSDNX6M,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",10.941
Non-Team,FZSDNX6M,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",13.939
Non-Team,FZSDNX6M,6,"Negative Effect of Losses in VMPFC, Equal Range Group",14.833
Non-Team,FZSDNX6M,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-16.767
Non-Team,FZSDNX6M,8,"Positive Effect of Losses in Amygdala, Equal Range Group",12.971
Non-Team,FZSDNX6M,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",36.314999
Non-Team,G63TPB93,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",44.688999
Non-Team,G63TPB93,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,G63TPB93,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",22.753
Non-Team,G63TPB93,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,G63TPB93,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",58.981998
Non-Team,G63TPB93,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,G63TPB93,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,G63TPB93,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,G63TPB93,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,GRZMAMW8,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,GRZMAMW8,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,GRZMAMW8,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,GRZMAMW8,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,GRZMAMW8,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,GRZMAMW8,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,GRZMAMW8,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,GRZMAMW8,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,GRZMAMW8,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,GXR63Y25,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",11.426
Non-Team,GXR63Y25,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.571
Non-Team,GXR63Y25,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",27.531
Non-Team,GXR63Y25,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",27.408001
Non-Team,GXR63Y25,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",13.291
Non-Team,GXR63Y25,6,"Negative Effect of Losses in VMPFC, Equal Range Group",13.92
Non-Team,GXR63Y25,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",7.0089998
Non-Team,GXR63Y25,8,"Positive Effect of Losses in Amygdala, Equal Range Group",6.4070001
Non-Team,GXR63Y25,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,HK3E43ZN,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,HK3E43ZN,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,HK3E43ZN,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,HK3E43ZN,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,HK3E43ZN,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,HK3E43ZN,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,HK3E43ZN,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,HK3E43ZN,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,HK3E43ZN,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,I3OD1AKU,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,I3OD1AKU,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,I3OD1AKU,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,I3OD1AKU,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,I3OD1AKU,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,I3OD1AKU,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,I3OD1AKU,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,I3OD1AKU,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,I3OD1AKU,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,I5MM4SP4,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",19.541
Non-Team,I5MM4SP4,2,"Positive Effect of Gains in VMPFC, Equal Range Group",17.832001
Non-Team,I5MM4SP4,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",26.018
Non-Team,I5MM4SP4,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",21.870001
Non-Team,I5MM4SP4,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",3.115
Non-Team,I5MM4SP4,6,"Negative Effect of Losses in VMPFC, Equal Range Group",1.687
Non-Team,I5MM4SP4,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",14.256
Non-Team,I5MM4SP4,8,"Positive Effect of Losses in Amygdala, Equal Range Group",6.9359999
Non-Team,I5MM4SP4,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",20.122999
Non-Team,I8OKDRV2,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,I8OKDRV2,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,I8OKDRV2,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,I8OKDRV2,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,I8OKDRV2,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,I8OKDRV2,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,I8OKDRV2,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,I8OKDRV2,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,I8OKDRV2,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,IR60FUG4,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",33.173
Non-Team,IR60FUG4,2,"Positive Effect of Gains in VMPFC, Equal Range Group",33.963001
Non-Team,IR60FUG4,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",22.134001
Non-Team,IR60FUG4,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",22.474001
Non-Team,IR60FUG4,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,IR60FUG4,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,IR60FUG4,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-20.037001
Non-Team,IR60FUG4,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-19.247999
Non-Team,IR60FUG4,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,IRMK89H9,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,IRMK89H9,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,IRMK89H9,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,IRMK89H9,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,IRMK89H9,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,IRMK89H9,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,IRMK89H9,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,IRMK89H9,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,IRMK89H9,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,JI6K9ZCK,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",27.809
Non-Team,JI6K9ZCK,2,"Positive Effect of Gains in VMPFC, Equal Range Group",27.280001
Non-Team,JI6K9ZCK,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",11.495
Non-Team,JI6K9ZCK,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",11.577
Non-Team,JI6K9ZCK,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,JI6K9ZCK,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,JI6K9ZCK,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,JI6K9ZCK,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,JI6K9ZCK,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-47.695999
Non-Team,JVIHF2OE,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,JVIHF2OE,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,JVIHF2OE,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,JVIHF2OE,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,JVIHF2OE,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,JVIHF2OE,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,JVIHF2OE,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,JVIHF2OE,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,JVIHF2OE,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,KE2XFUA2,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,KE2XFUA2,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,KE2XFUA2,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,KE2XFUA2,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,KE2XFUA2,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,KE2XFUA2,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,KE2XFUA2,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,KE2XFUA2,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,KE2XFUA2,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,KHM6JTTQ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",11.026
Non-Team,KHM6JTTQ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.374
Non-Team,KHM6JTTQ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",32.858002
Non-Team,KHM6JTTQ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",34.328999
Non-Team,KHM6JTTQ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,KHM6JTTQ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,KHM6JTTQ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",34.528999
Non-Team,KHM6JTTQ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,KHM6JTTQ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,L01GI8P4,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",11.035
Non-Team,L01GI8P4,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.195
Non-Team,L01GI8P4,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",46.004002
Non-Team,L01GI8P4,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",46.250999
Non-Team,L01GI8P4,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,L01GI8P4,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,L01GI8P4,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,L01GI8P4,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,L01GI8P4,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,LJ4L9U3A,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",10.063
Non-Team,LJ4L9U3A,2,"Positive Effect of Gains in VMPFC, Equal Range Group",5.7199998
Non-Team,LJ4L9U3A,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",26.927
Non-Team,LJ4L9U3A,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",10.924
Non-Team,LJ4L9U3A,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",6.448
Non-Team,LJ4L9U3A,6,"Negative Effect of Losses in VMPFC, Equal Range Group",-18.995001
Non-Team,LJ4L9U3A,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",6.7750001
Non-Team,LJ4L9U3A,8,"Positive Effect of Losses in Amygdala, Equal Range Group",12.56
Non-Team,LJ4L9U3A,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-45.712002
Non-Team,NF615CCR,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",23.268
Non-Team,NF615CCR,2,"Positive Effect of Gains in VMPFC, Equal Range Group",23.903999
Non-Team,NF615CCR,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,NF615CCR,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,NF615CCR,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,NF615CCR,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,NF615CCR,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",19.002001
Non-Team,NF615CCR,8,"Positive Effect of Losses in Amygdala, Equal Range Group",41.747002
Non-Team,NF615CCR,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",111.042
Non-Team,NKHR0JZO,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,NKHR0JZO,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,NKHR0JZO,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,NKHR0JZO,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,NKHR0JZO,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,NKHR0JZO,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,NKHR0JZO,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,NKHR0JZO,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,NKHR0JZO,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,OFQAMMWQ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,OFQAMMWQ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",16.561001
Non-Team,OFQAMMWQ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",10.015
Non-Team,OFQAMMWQ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,OFQAMMWQ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,OFQAMMWQ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,OFQAMMWQ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,OFQAMMWQ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",14.37
Non-Team,OFQAMMWQ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-20.018
Non-Team,OJ1FDVRI,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,OJ1FDVRI,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,OJ1FDVRI,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,OJ1FDVRI,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,OJ1FDVRI,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,OJ1FDVRI,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,OJ1FDVRI,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,OJ1FDVRI,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,OJ1FDVRI,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,OQKTG86M,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,OQKTG86M,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,OQKTG86M,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,OQKTG86M,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,OQKTG86M,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,OQKTG86M,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,OQKTG86M,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,OQKTG86M,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,OQKTG86M,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,OV6XZ01M,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",12.624
Non-Team,OV6XZ01M,2,"Positive Effect of Gains in VMPFC, Equal Range Group",12.61
Non-Team,OV6XZ01M,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",10.175
Non-Team,OV6XZ01M,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",11.231
Non-Team,OV6XZ01M,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",18.143
Non-Team,OV6XZ01M,6,"Negative Effect of Losses in VMPFC, Equal Range Group",15.711
Non-Team,OV6XZ01M,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",18.761999
Non-Team,OV6XZ01M,8,"Positive Effect of Losses in Amygdala, Equal Range Group",19.032
Non-Team,OV6XZ01M,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",53.005001
Non-Team,P8BW1VHY,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",29.336
Non-Team,P8BW1VHY,2,"Positive Effect of Gains in VMPFC, Equal Range Group",29.624001
Non-Team,P8BW1VHY,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",29.407
Non-Team,P8BW1VHY,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",29.266001
Non-Team,P8BW1VHY,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,P8BW1VHY,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,P8BW1VHY,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,P8BW1VHY,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,P8BW1VHY,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,PAFBCANO,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,PAFBCANO,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,PAFBCANO,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,PAFBCANO,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,PAFBCANO,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,PAFBCANO,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,PAFBCANO,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,PAFBCANO,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,PAFBCANO,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,R3Z3KKN9,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",5.9640002
Non-Team,R3Z3KKN9,2,"Positive Effect of Gains in VMPFC, Equal Range Group",19.809
Non-Team,R3Z3KKN9,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",18.882999
Non-Team,R3Z3KKN9,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",.80400002
Non-Team,R3Z3KKN9,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",2.4519999
